UTaU_1CB_M1W_3, 0.24245, 0.69947, 639988
UTaU_1CB_M2_0, -0.0619044, 1.23825, 639195
UTaU_1CB_M2_1, -0.131778, 1.10602, 639805
UTaU_1CB_M2_2, 0.121495, 1.12139, 639674
UTaU_1CB_M2_3, -0.0548165, 1.02347, 638622
UTaU_1CB_M3_0, -0.0482254, 1.16057, 638917
UTaU_1CB_M3_1, -0.0324136, 1.22374, 638435
UTaU_1CB_M3_2, -0.0967451, 1.1689, 638761
UTaU_1CB_M3_3, 0.106895, 1.25156, 637812
UTaU_1CB_M4_0, 0.0955356, 1.04704, 636485
UTaU_1CB_M4_1, 0.278897, 0.985446, 632998
UTaU_1CB_M4_2, 0.0452478, 1.09601, 639147
UTaU_1CB_M4_3, 0.0989714, 1.23816, 638144
UTaU_1CB_S1E_0, 0.160984, 0.811213, 639754
UTaU_1CB_S1E_1, 0.197975, 0.738542, 639956
UTaU_1CB_S1E_2, -0.0479439, 0.528434, 639998
UTaU_1CB_S1E_3, 0.0146172, 0.485387, 640000
UTaU_1CB_S1W_0, -0.0196329, 0.741678, 639946
UTaU_1CB_S1W_1, 0.198329, 0.717164, 639963
UTaU_1CB_S1W_2, -0.0234151, 0.747792, 639972
UTaU_1CB_S1W_3, -0.215554, 0.801759, 639756
UTaU_1CB_S2E_0, 0.27436, 1.0549, 639813
UTaU_1CB_S2E_1, -0.0759258, 1.29156, 638900
UTaU_1CB_S2E_2, -0.0534104, 1.40952, 639576
UTaU_1CB_S2E_3, 0.168192, 1.42616, 639865
UTaU_1CB_S2W_0, -0.0365333, 0.934824, 638130
UTaU_1CB_S2W_1, 0.0646827, 0.912597, 638177
UTaU_1CB_S2W_2, 0.223461, 1.08447, 639650
UTaU_1CB_S2W_3, -0.17573, 0.985701, 637926
UTaU_1CB_S3_0, 0.00463698, 0.944915, 636405
UTaU_1CB_S3_1, 0.0187874, 0.899385, 637715
UTaU_1CB_S3_2, -0.08945, 1.0335, 636624
UTaU_1CB_S3_3, 0.0313313, 0.867038, 638404
UTaU_1CB_S4_0, -0.00652611, 1.04839, 637899
UTaU_1CB_S4_1, -0.163698, 1.13551, 639854
UTaU_1CB_S4_2, -0.0345588, 1.24775, 639577
UTaU_1CB_S4_3, 0.0301983, 1.23799, 639108
UTaU_1CT_M1E_0, 0.019988, 0.833956, 639884
UTaU_1CT_M1E_1, 0.126434, 0.760181, 639972
UTaU_1CT_M1E_2, -0.064756, 0.775431, 639956
UTaU_1CT_M1E_3, -0.168079, 0.768647, 639956
UTaU_1CT_M1W_0, -0.073007, 0.596986, 639966
UTaU_1CT_M1W_1, -0.0651145, 0.59337, 639965
UTaU_1CT_M1W_2, -0.267541, 0.605323, 639917
UTaU_1CT_M1W_3, 0.293573, 0.67991, 639987
UTaU_1CT_M2_0, -0.0193738, 1.33462, 639007
UTaU_1CT_M2_1, 0.0133728, 1.11447, 639807
UTaU_1CT_M2_2, -0.261326, 0.909816, 637739
UTaU_1CT_M2_3, 0.0983871, 0.949601, 632898
UTaU_1CT_M3_0, 0.0559351, 1.29401, 639134
UTaU_1CT_M3_1, -0.235207, 1.26636, 638447
UTaU_1CT_M3_2, -0.186188, 1.02007, 636642
UTaU_1CT_M3_3, -0.0349889, 1.27266, 639374
UTaU_1CT_M4_0, 0.015973, 1.21963, 637889
UTaU_1CT_M4_1, -0.0840808, 0.967182, 632439
UTaU_1CT_M4_2, -0.0869391, 0.992528, 634007
UTaU_1CT_M4_3, -0.0341043, 1.0359, 638981
UTaU_1CT_S1E_0, 0.00864241, 0.834478, 639868
UTaU_1CT_S1E_1, 0.113416, 0.725961, 639965
UTaU_1CT_S1E_2, 0.0425469, 0.715433, 639999
UTaU_1CT_S1E_3, -0.347553, 0.578439, 640000
UTaU_1CT_S1W_0, 0.295073, 0.767646, 639841
UTaU_1CT_S1W_1, 0.270086, 0.752772, 639938
UTaU_1CT_S1W_2, 0.186442, 0.727009, 639975
UTaU_1CT_S1W_3, -0.253819, 0.785363, 639704
UTaU_1CT_S2E_0, -0.16716, 1.17395, 639621
UTaU_1CT_S2E_1, 0.319918, 0.950152, 637192
UTaU_1CT_S2E_2, 0.0782413, 0.935246, 637566
UTaU_1CT_S2E_3, 0.11548, 0.937468, 637192
UTaU_1CT_S2W_0, 0.0569134, 0.963555, 638725
UTaU_1CT_S2W_1, 0.0509749, 0.825705, 639864
UTaU_1CT_S2W_2, -0.0872482, 0.828557, 639784
UTaU_1CT_S2W_3, -0.225116, 1.12492, 639137
UTaU_1CT_S3_0, -0.0393179, 0.803534, 638590
UTaU_1CT_S3_1, -0.0766842, 0.778555, 639480
UTaU_1CT_S3_2, -0.0385811, 0.788027, 639225
UTaU_1CT_S3_3, -0.0102489, 0.758219, 639775
UTaU_1CT_S4_0, -0.016336, 1.07798, 636815
UTaU_1CT_S4_1, 0.101236, 1.08826, 638491
UTaU_1CT_S4_2, -0.0624452, 0.924348, 638592
UTaU_1CT_S4_3, 0.158392, 1.1082, 639185
UTaU_2AB_M1E_0, -0.207262, 0.906043, 638324
UTaU_2AB_M1E_1, 0.254421, 0.941666, 637019
UTaU_2AB_M1E_2, 0.118039, 0.908574, 638450
UTaU_2AB_M1E_3, -0.171487, 0.89925, 638755
UTaU_2AB_M1W_0, 0.133526, 0.865985, 638654
UTaU_2AB_M1W_1, -0.0328932, 0.890472, 636333
UTaU_2AB_M1W_2, -0.194869, 0.866187, 635695
UTaU_2AB_M1W_3, 0.0499225, 0.923482, 636867
UTaU_2AB_M2_0, -0.100493, 0.850562, 639100
UTaU_2AB_M2_1, -0.186663, 0.829039, 639606
UTaU_2AB_M2_2, 0.0206365, 0.794373, 639739
UTaU_2AB_M2_3, -0.0456155, 0.808587, 639673
UTaU_2AB_M3_0, -0.0732104, 0.913489, 638393
UTaU_2AB_M3_1, -0.0703515, 0.923093, 638636
UTaU_2AB_M3_2, -0.0704006, 0.888779, 639142
UTaU_2AB_M3_3, 0.0771072, 0.886917, 638682
