UTaU_1CB_M4_2, 0.00414583, 1.0204
UTaU_1CB_M4_3, 0.000737999, 1.15516
UTaU_1CB_S1E_0, -0.000603738, 0.780009
UTaU_1CB_S1E_1, -1.94593e-05, 0.643585
UTaU_1CB_S1E_2, -0.000349324, 0.449549
UTaU_1CB_S1E_3, -0.000946562, 0.388898
UTaU_1CB_S1W_0, -0.025324, 0.966687
UTaU_1CB_S1W_1, 0.00553592, 0.70786
UTaU_1CB_S1W_2, -3.90865e-05, 0.728499
UTaU_1CB_S1W_3, -0.00212264, 0.7586
UTaU_1CB_S2E_0, -0.00291176, 1.04544
UTaU_1CB_S2E_1, -0.000138352, 1.28116
UTaU_1CB_S2E_2, -1.33533e-05, 1.52435
UTaU_1CB_S2E_3, -6.72427e-05, 1.55097
UTaU_1CB_S2W_0, 0.00119209, 0.990564
UTaU_1CB_S2W_1, 0.00395131, 0.945558
UTaU_1CB_S2W_2, 0.0065068, 0.900763
UTaU_1CB_S2W_3, 0.00185731, 0.956929
UTaU_1CB_S3_0, 0.00802066, 1.00477
UTaU_1CB_S3_1, 0.00460726, 0.927305
UTaU_1CB_S3_2, 0.00317675, 0.880586
UTaU_1CB_S3_3, 0.00282419, 0.706733
UTaU_1CB_S4_0, 0.000959386, 1.06011
UTaU_1CB_S4_1, -0.00391063, 1.0019
UTaU_1CB_S4_2, -0.00158186, 1.09166
UTaU_1CB_S4_3, 0.00279526, 0.967295
UTaU_1CT_M1E_0, 0.00833166, 0.66624
UTaU_1CT_M1E_1, 0.00397048, 0.649015
UTaU_1CT_M1E_2, 0.00944605, 0.680759
UTaU_1CT_M1E_3, 0.00429252, 0.648083
UTaU_1CT_M1W_0, 0.000295145, 0.76387
UTaU_1CT_M1W_1, 0.000318825, 0.774218
UTaU_1CT_M1W_2, 0.000104059, 0.73266
UTaU_1CT_M1W_3, 0.00553784, 0.6887
UTaU_1CT_M2_0, -1.66681e-05, 1.37584
UTaU_1CT_M2_1, -0.00120581, 1.25662
UTaU_1CT_M2_2, 0.00220333, 0.999721
UTaU_1CT_M2_3, 0.00637359, 0.887617
UTaU_1CT_M3_0, 0.00125839, 1.18541
UTaU_1CT_M3_1, 0.00278125, 1.17407
UTaU_1CT_M3_2, 7.86857e-05, 1.14763
UTaU_1CT_M3_3, -0.0031977, 1.03709
UTaU_1CT_M4_0, 0.00117334, 1.31127
UTaU_1CT_M4_1, -0.000593637, 1.22793
UTaU_1CT_M4_2, -0.000737391, 0.990388
UTaU_1CT_M4_3, -0.00112026, 0.839375
UTaU_1CT_S1E_0, 0.0100926, 0.711055
UTaU_1CT_S1E_1, 0.00178929, 0.628914
UTaU_1CT_S1E_2, -0.000463468, 0.53329
UTaU_1CT_S1E_3, -0.000406346, 0.506582
UTaU_1CT_S1W_0, 0.000427917, 0.838456
UTaU_1CT_S1W_1, 0.00280927, 0.81904
UTaU_1CT_S1W_2, -0.00139134, 0.747648
UTaU_1CT_S1W_3, 0.00183676, 0.703714
UTaU_1CT_S2E_0, 0.000295158, 1.16094
UTaU_1CT_S2E_1, 0.000619824, 1.12151
UTaU_1CT_S2E_2, 0.00120339, 1.15613
UTaU_1CT_S2E_3, 0.000934082, 1.25334
UTaU_1CT_S2W_0, 0.000503059, 0.831868
UTaU_1CT_S2W_1, 1.78377e-05, 0.752093
UTaU_1CT_S2W_2, -0.000245878, 0.754877
UTaU_1CT_S2W_3, 0.0028891, 0.965597
UTaU_1CT_S3_0, 0.0033176, 0.980161
UTaU_1CT_S3_1, 7.20384e-05, 0.811373
UTaU_1CT_S3_2, 0.00254403, 0.740111
UTaU_1CT_S3_3, 0.0017862, 0.652785
UTaU_1CT_S4_0, 0.00529478, 0.978998
UTaU_1CT_S4_1, 0.00145975, 0.943369
UTaU_1CT_S4_2, -0.00220773, 0.905278
UTaU_1CT_S4_3, -0.00244583, 0.998517
UTaU_2AB_M1E_0, -0.0020208, 0.861427
UTaU_2AB_M1E_1, 0.00942844, 0.806432
UTaU_2AB_M1E_2, -0.000503695, 0.791571
UTaU_2AB_M1E_3, 0.0019972, 0.800915
UTaU_2AB_M1W_0, -0.00324191, 0.635388
UTaU_2AB_M1W_1, -0.00245321, 0.824042
UTaU_2AB_M1W_2, -0.0108947, 0.772394
UTaU_2AB_M1W_3, -0.0016873, 0.900596
UTaU_2AB_M2_0, 0.000669986, 0.762415
UTaU_2AB_M2_1, 0.000789618, 0.77065
UTaU_2AB_M2_2, 0.0016845, 0.776218
UTaU_2AB_M2_3, -0.000170543, 0.677872
UTaU_2AB_M3_0, 0.00108365, 0.909052
UTaU_2AB_M3_1, 0.000782517, 0.91492
UTaU_2AB_M3_2, 0.000378524, 0.865324
UTaU_2AB_M3_3, 0.00119473, 0.83628
UTaU_2AB_M4_0, -0.000866952, 0.8917
UTaU_2AB_M4_1, -0.00195678, 0.89525
UTaU_2AB_M4_2, -0.000557277, 0.889346
UTaU_2AB_M4_3, -0.00456142, 0.706647
UTaU_2AB_S1E_0, -0.000611394, 0.91868
UTaU_2AB_S1E_1, 0.000623212, 0.864604
UTaU_2AB_S1E_2, 0.00179985, 0.865439
UTaU_2AB_S1E_3, -0.000390926, 0.884908
UTaU_2AB_S1W_0, 8.76711e-06, 0.803454
UTaU_2AB_S1W_1, 0.00987603, 0.766395
UTaU_2AB_S1W_2, 0.00198297, 0.805606
UTaU_2AB_S1W_3, 0.00639505, 0.850516
UTaU_2AB_S2_0, -0.0117808, 0.870287
UTaU_2AB_S2_1, -0.00676009, 0.736521
UTaU_2AB_S2_2, -0.000449915, 0.811127
UTaU_2AB_S2_3, 9.93182e-05, 0.791641
UTaU_2AB_S3_0, -0.00166815, 0.92838
UTaU_2AB_S3_1, -0.00102932, 0.936507
UTaU_2AB_S3_2, 0.00314329, 0.953272
UTaU_2AB_S3_3, -0.00964517, 0.85553
UTaU_2AT_M1E_0, 0.000432057, 0.879401
UTaU_2AT_M1E_1, 0.00194498, 0.915322
UTaU_2AT_M1E_2, 0.0125749, 0.932001
UTaU_2AT_M1E_3, 0.0146488, 0.926459
UTaU_2AT_M1W_0, -0.00445557, 0.674149
UTaU_2AT_M1W_1, -0.00460266, 0.6643
UTaU_2AT_M1W_2, -0.00750547, 0.766196
UTaU_2AT_M1W_3, -0.00180943, 0.914648
UTaU_2AT_M2_0, 0.0048933, 0.850022
UTaU_2AT_M2_1, 0.00764881, 0.89176
UTaU_2AT_M2_2, 0.00518715, 0.867686
UTaU_2AT_M2_3, 0.00477186, 0.842589
UTaU_2AT_M3_0, 0.00358386, 0.96395
UTaU_2AT_M3_1, 0.000452169, 0.908874
UTaU_2AT_M3_2, 0.00119896, 0.708674
UTaU_2AT_M3_3, 2.68963e-05, 0.692519
UTaU_2AT_M4_0, 0.00361328, 0.889391
UTaU_2AT_M4_1, -0.00353681, 0.898169
UTaU_2AT_M4_2, -0.000788248, 0.942588
UTaU_2AT_M4_3, -0.000884465, 0.956329
UTaU_2AT_S1E_0, -0.00222625, 0.872672
